name,type,powerRating,location,status,energyConsumption,notes
LED Strip RLR,lighting,100,Parking Level -1,inactive,2.803,
3D Printer U4U,electronics,45,R&D Lab,active,2.478,
Street Light R9U,lighting,36,Main Office,active,1.182,
Washer WGF,appliances,900,Manufacturing Line 2,active,19.249,
CNC Controller ARS,electronics,90,South Wing,active,3.525,
Cooling Unit UVP,cooling,900,Parking Level -1,active,49.562,Legacy unit
Water Heater 2OF,heating,1500,Server Room,active,50.727,
Microwave Y1M,appliances,200,Server Room,inactive,11.132,Scheduled for maintenance Q4
Floodlight B8S,lighting,18,North Wing,active,0.621,
Router WL7,electronics,150,Parking Level -2,active,4.349,
3D Printer RGU,electronics,90,Cafeteria,active,3.85,Legacy unit
Router A3W,electronics,300,Admin Wing,active,7.954,
Switch 21L,electronics,200,Cafeteria,inactive,14.093,
Track Light TET,lighting,60,South Wing,active,1.637,
Cooling Unit YZ0,cooling,1200,Manufacturing Line 1,active,66.3,
IoT Gateway 07S,electronics,45,R&D Lab,active,1.929,
Boiler I7A,heating,2000,Warehouse A,active,75.329,High usage device
Vending Machine C45,appliances,900,QA Lab,active,20.301,
Radiator VCD,heating,1500,Conference 1,active,26.293,
Downlight YQ8,lighting,24,West Wing,inactive,0.252,
Dryer 19H,appliances,200,East Wing,inactive,8.875,
Floodlight FJ2,lighting,80,Parking Level -1,active,2.728,Legacy unit
Workstation FPT,electronics,150,West Wing,active,1.95,
Dryer 4Y7,appliances,350,R&D Lab,active,9.013,
Heat Pump MMW,heating,800,Main Office,active,63.44,
Vent Fan BGA,cooling,450,South Wing,inactive,24.812,
Workstation HL5,electronics,45,Warehouse A,inactive,1.15,
Water Heater C67,heating,1200,Manufacturing Line 2,active,14.986,
Vending Machine T8D,appliances,120,Manufacturing Line 2,inactive,5.26,Check wiring
Water Heater 8YF,heating,3000,Manufacturing Line 2,inactive,213.25,Legacy unit
Cooling Unit KLU,cooling,900,Roof,active,13.539,
Monitor JJE,electronics,90,Manufacturing Line 2,active,4.885,
Vending Machine 17K,appliances,500,Parking Level -2,active,25.877,New installation
AC Unit DBO,cooling,900,Main Office,active,31.936,
HVAC GWE,heating,3000,Roof,active,121.756,Scheduled for maintenance Q4
CNC Controller 0RC,electronics,45,Parking Level -2,active,2.315,
Water Heater YDA,heating,1500,Warehouse B,active,21.636,
Boiler M3N,heating,2000,R&D Lab,active,95.848,
Washer J00,appliances,500,Server Room,active,29.558,
Monitor R3X,electronics,45,Roof,inactive,2.293,
Track Light FU9,lighting,100,West Wing,active,3.372,
Switch XRS,electronics,450,QA Lab,active,5.862,
Track Light SWU,lighting,60,Parking Level -2,active,1.657,High usage device
Heat Pump KCN,heating,1200,Conference 1,active,69.225,
Refrigerator 6NV,appliances,200,Main Office,active,11.248,Scheduled for maintenance Q4
Tube Light FEJ,lighting,18,Admin Wing,inactive,0.314,
IoT Gateway 7ZX,electronics,90,East Wing,active,5.811,
Tube Light A57,lighting,12,Manufacturing Line 1,active,0.829,High usage device
CNC Controller NMO,electronics,150,Warehouse B,active,5.14,High usage device
